soil_moisture,blue,green,red,red_edge,NIR
10.3,0.114693348,0.235197165,0.188041351,0.41582968,0.674295382
21.71,0.122718485,0.233845947,0.183823671,0.390115448,0.708148886
21,0.120891622,0.2259791,0.170746114,0.390492767,0.674124454
20.4,0.135290925,0.229130876,0.176472327,0.387217432,0.685199948
21.44,0.136290821,0.222130764,0.194628805,0.394395437,0.605584407
24.59,0.151242373,0.228219357,0.206494857,0.400846223,0.62236155
11.05,0.106368276,0.198354248,0.157329687,0.349738606,0.60403343
25.84,0.133929246,0.220567408,0.177082734,0.385100961,0.652085289
10.33,0.126495589,0.228993102,0.187737367,0.401383513,0.655126648
21.75,0.138589345,0.228717676,0.181135756,0.379170607,0.682543531
21.16,0.129955755,0.219216296,0.168663707,0.380129352,0.658533091
20.48,0.141892189,0.222231653,0.175725528,0.376810305,0.664628673
21.4,0.14027791,0.218325343,0.195879809,0.388475419,0.593882242
24.59,0.163036412,0.224981627,0.208770295,0.395000801,0.608921137
11.2,0.12133973,0.196098246,0.159134824,0.345505838,0.592905309
25.94,0.153391716,0.216544148,0.178742548,0.377250851,0.637495673
10.33,0.122488215,0.227303953,0.183035693,0.400449556,0.649012531
21.75,0.121802212,0.227170239,0.180441219,0.377697855,0.682293221
21.07,0.120603915,0.219930908,0.169681902,0.380454047,0.647643487
20.46,0.134174698,0.22416484,0.176126082,0.379405059,0.668545033
21.45,0.130838637,0.216479268,0.195246626,0.387391016,0.592421833
24.62,0.151836146,0.227415405,0.208454427,0.395804498,0.609834132
11.16,0.110817808,0.195224565,0.156984201,0.348616148,0.597984626
26.09,0.136297211,0.217870408,0.176732463,0.378296051,0.642876649
10.3,0.1282984,0.239965439,0.19193609,0.421502502,0.679698923
21.69,0.145444227,0.238181248,0.188971536,0.39742395,0.715251292
21.1,0.125410005,0.226878171,0.172377977,0.399421739,0.686930279
20.4,0.144257312,0.231536049,0.179888187,0.394315413,0.685914
21.37,0.152429002,0.223760708,0.198586513,0.404010219,0.610206481
24.61,0.155702016,0.23019847,0.209701586,0.406441479,0.628292954
11.02,0.125917914,0.200490511,0.160196659,0.356128666,0.613004242
25.82,0.147987684,0.222982728,0.181007937,0.393155307,0.662727206
10.29,0.129639639,0.243790732,0.1955826,0.43275536,0.691520609
21.7,0.135843645,0.24293549,0.19054795,0.404237276,0.72133388
21.05,0.11943411,0.23137104,0.17672282,0.406255139,0.683116645
20.38,0.137761161,0.237994922,0.185191123,0.405692867,0.697248613
21.45,0.140706827,0.229524402,0.203389668,0.413649888,0.626355905
24.51,0.154497282,0.235648375,0.21599105,0.418162699,0.629468038
11.03,0.122980875,0.204478774,0.163587246,0.366819104,0.620130771
25.92,0.141596349,0.228956885,0.183259619,0.401948699,0.667007579
10.27,0.140068225,0.220667263,0.179426508,0.398708354,0.640193943
21.77,0.1583753,0.216805834,0.177471281,0.378127938,0.67277265
21.14,0.132128299,0.203554148,0.157027794,0.375698218,0.645475639
20.51,0.159208219,0.201481788,0.153902095,0.357201783,0.625904165
21.45,0.147142621,0.204136366,0.185798064,0.379541379,0.584026236
24.59,0.172031044,0.212030606,0.196344851,0.388960597,0.600244135
11.32,0.135088765,0.188118141,0.155053571,0.343986819,0.588104935
25.88,0.167251168,0.207994612,0.173392636,0.374588854,0.635251018
10.31,0.125914865,0.198515061,0.16182255,0.368563402,0.59612948
21.79,0.145563045,0.211644937,0.166662921,0.361102466,0.624428688
21.2,0.116240676,0.188772689,0.145922653,0.349011013,0.592935293
20.52,0.141280928,0.189691099,0.147450517,0.339962149,0.587661178
21.54,0.130389993,0.1874277,0.170133947,0.357117603,0.549386054
24.59,0.148699723,0.191025225,0.179017773,0.357970161,0.550587545
11.31,0.121513664,0.177680767,0.144948505,0.323136505,0.55426853
25.91,0.145734037,0.187364246,0.158962009,0.342291156,0.559724024
10.26,0.115867438,0.242613711,0.19355787,0.427845651,0.687357378
21.72,0.128672507,0.242489191,0.18978614,0.405543205,0.712378493
21.07,0.117948425,0.233076546,0.17781764,0.40617009,0.674824021
20.39,0.133558403,0.239848985,0.185756473,0.40556953,0.690036292
21.6,0.142358973,0.230545451,0.205304028,0.414464937,0.616025733
24.56,0.161034623,0.236410609,0.214514172,0.418041818,0.633150386
11.01,0.11070906,0.203886714,0.162533336,0.364625446,0.612726089
25.94,0.141226327,0.227759616,0.183071901,0.401354074,0.659141342
10.41,0.13500406,0.20208408,0.163626171,0.373584479,0.610178065
21.8,0.153803517,0.213706068,0.169701495,0.36399696,0.638138064
21.24,0.121839027,0.192222193,0.148419377,0.355169332,0.605128003
20.56,0.146211152,0.191270766,0.14570337,0.339576677,0.596076861
21.57,0.135854957,0.191770119,0.174529614,0.360283346,0.552084149
24.64,0.154804985,0.195649519,0.181487004,0.359720325,0.558584122
11.31,0.130383587,0.179274333,0.144983388,0.323328639,0.563646084
25.92,0.149958748,0.194189716,0.163180071,0.348304172,0.58056808
10.29,0.120693065,0.243081415,0.196291492,0.433759449,0.689710909
21.66,0.14171972,0.242364436,0.190823897,0.404810361,0.725126221
20.96,0.110350153,0.229921302,0.17536209,0.403570308,0.694409137
20.41,0.144549129,0.236261569,0.183787045,0.401374381,0.699047773
21.38,0.140602363,0.227036686,0.202745724,0.410666374,0.616781321
24.59,0.15058825,0.232529624,0.212723843,0.416724457,0.638485864
11.01,0.12434837,0.202267106,0.162387295,0.362507817,0.618476706
25.82,0.140615735,0.225793357,0.181232297,0.39808299,0.662266086
10.28,0.129893097,0.242673135,0.194664452,0.427628368,0.693641941
21.64,0.137804654,0.241887445,0.191939724,0.399235126,0.729021869
21.04,0.113738253,0.232379608,0.177183417,0.402396758,0.689661911
20.38,0.143850956,0.238524496,0.185140884,0.403325732,0.711833902
21.53,0.133618891,0.229736467,0.204984428,0.409078297,0.630840739
24.59,0.148983564,0.23654134,0.215391454,0.41292914,0.645588716
11.01,0.133295062,0.2053757,0.164023673,0.362219009,0.622788431
25.95,0.138833229,0.228042612,0.183776799,0.397185012,0.675297658
10.38,0.136783238,0.213276717,0.173675779,0.387347231,0.619830563
21.77,0.159866844,0.213869936,0.171951889,0.369896789,0.647769304
21.25,0.121982086,0.196011922,0.151400877,0.364481289,0.622813706
20.52,0.153615914,0.19550423,0.149046995,0.347984171,0.611617904
21.52,0.144369952,0.198524167,0.180003982,0.369838752,0.558030761
24.62,0.159382999,0.201100361,0.185751767,0.37423509,0.573522115
11.37,0.1317502,0.182013524,0.148453358,0.331034241,0.564650526
26.2,0.158328738,0.202221077,0.168251821,0.364517548,0.606874084
10.19,0.13201151,0.242608814,0.193212381,0.427502102,0.691708021
21.68,0.141721469,0.241280168,0.188921192,0.398867972,0.709976401
21.02,0.115699132,0.229737207,0.174432039,0.404166328,0.688817407
20.38,0.139240849,0.236694685,0.182973819,0.398946481,0.692522658
21.48,0.137942153,0.227882434,0.203195464,0.411025275,0.62329581
24.59,0.156562309,0.235207799,0.212124022,0.415597496,0.634787264
11.01,0.118332896,0.204134003,0.160429386,0.361546914,0.621536317
26.04,0.142088531,0.225893121,0.181171457,0.397986034,0.680702127
10.27,0.126828806,0.237609982,0.189335275,0.422500567,0.684511224
21.67,0.137615106,0.239656684,0.186664076,0.397477173,0.709813792
21.04,0.114420487,0.228177858,0.171272917,0.397903835,0.676798488
20.39,0.140991427,0.233270744,0.179009866,0.394232588,0.677116766
21.31,0.132933346,0.223516366,0.197661667,0.404945968,0.613372068
24.64,0.157930107,0.227339209,0.205657249,0.409836457,0.626718008
11.01,0.121132084,0.200583256,0.159071637,0.355556338,0.605930071
25.9,0.1469115,0.223809423,0.177825544,0.392675805,0.661656074
10.32,0.097030216,0.237545125,0.191806463,0.415541475,0.676234498
21.71,0.124527762,0.232826667,0.185430108,0.387325651,0.70955091
21.08,0.113459279,0.226093763,0.172082793,0.390148539,0.667941716
20.44,0.142609498,0.230836578,0.180136964,0.386170368,0.678093457
21.37,0.124145304,0.223522808,0.199703801,0.397410499,0.603695384
24.56,0.155206562,0.229039785,0.21198595,0.403771566,0.60793217
11.11,0.094544209,0.197727605,0.159955756,0.352985319,0.603598209
26.05,0.126732056,0.221052831,0.178508462,0.386044537,0.650798833
10.32,0.11870382,0.230630955,0.184016235,0.405799612,0.659968893
21.71,0.127754675,0.229529195,0.180324373,0.381214367,0.691180046
21.02,0.109390618,0.219515551,0.16775737,0.383346263,0.658743785
20.46,0.12846128,0.225027708,0.175858338,0.3836512,0.670224362
21.46,0.136408252,0.216103229,0.193663089,0.392099893,0.596011922
24.58,0.143126401,0.224972896,0.204301491,0.397676545,0.615452002
11.11,0.126149577,0.19395874,0.155064487,0.345794207,0.591420487
25.88,0.136943468,0.217254596,0.175723564,0.379511784,0.636150851
19.72,0.109783553,0.1527037,0.149619014,0.288272669,0.486773802
25.95,0.122754636,0.149449806,0.14104708,0.26693941,0.479607107
27.54,0.112313319,0.14806976,0.147605301,0.257969314,0.432691261
26.44,0.124535664,0.1509374,0.139350646,0.274245357,0.481312345
26.84,0.105996794,0.132963504,0.142683357,0.224834776,0.339799175
27.8,0.123022607,0.147308213,0.156508783,0.277934181,0.47512187
20.48,0.109315145,0.135366974,0.13392726,0.2607394,0.457453976
31.12,0.118230139,0.137060641,0.126682093,0.2605693,0.476956196
19.55,0.103513268,0.148195548,0.144652097,0.271590553,0.477207526
25.91,0.109153191,0.144948118,0.136732672,0.255440039,0.472192864
27.54,0.11332112,0.151166017,0.146924115,0.272409682,0.475484115
26.36,0.115347707,0.148277322,0.135489625,0.263664525,0.469660396
26.79,0.120144885,0.152067967,0.1593382,0.275059766,0.46565333
27.77,0.119259363,0.142964712,0.15073222,0.268178532,0.468825964
20.19,0.098471799,0.133032183,0.132237642,0.254325557,0.448893039
30.99,0.107130205,0.134193272,0.123042023,0.251829481,0.471248818
19.59,0.111437576,0.149258871,0.145873008,0.277982196,0.476839351
25.84,0.121374689,0.146691088,0.139404113,0.262324763,0.472233832
27.56,0.123641432,0.150158625,0.148301679,0.275724778,0.475747226
26.37,0.127338471,0.14897355,0.137307683,0.268523862,0.466859737
26.88,0.124351371,0.151008673,0.16039109,0.278237052,0.457980272
27.81,0.128230612,0.144033301,0.15301778,0.273279659,0.46883753
20.35,0.105513437,0.133509389,0.13269105,0.255595185,0.447788905
31.07,0.116736946,0.135453225,0.124816319,0.257304428,0.466826696
19.78,0.09476601,0.141877575,0.137991862,0.268084153,0.443855895
25.91,0.108213195,0.147262188,0.141526762,0.261455597,0.463243795
26.45,0.122727469,0.150004548,0.139692904,0.273101213,0.482903792
27.81,0.128952335,0.147004413,0.155909343,0.280422264,0.479395931
20.47,0.100627882,0.136141686,0.133634826,0.261875866,0.456164399
19.56,0.110481494,0.144735542,0.140755904,0.267305041,0.45586986
25.82,0.118871077,0.143227864,0.135245699,0.252347568,0.45509889
27.45,0.115927779,0.147103965,0.144172052,0.267461765,0.461802847
26.33,0.119433016,0.145992474,0.133792701,0.262079575,0.45218953
26.77,0.11949558,0.147975065,0.15662077,0.271466776,0.454713876
27.76,0.131022073,0.141472703,0.150014631,0.266864749,0.459156791
20.31,0.102310865,0.131544064,0.130632072,0.251587043,0.44029584
30.92,0.119439254,0.134382509,0.123534363,0.254746,0.459011622
19.75,0.111268353,0.151717943,0.148159777,0.284093512,0.484544696
25.93,0.127815909,0.148123993,0.14031336,0.263769219,0.479226481
27.6,0.125175067,0.153754044,0.150165949,0.281593946,0.48739922
26.42,0.126266549,0.149716779,0.139103527,0.272348804,0.480207949
26.87,0.128666787,0.153943792,0.162781085,0.282109391,0.474831376
20.46,0.108370365,0.135330995,0.134208636,0.259949491,0.452630072
31.11,0.116295788,0.134953828,0.125836644,0.258567401,0.468948091
19.67,0.110181792,0.15102208,0.148287109,0.282651527,0.482315299
25.94,0.119517192,0.147974287,0.139976671,0.26417417,0.481257064
27.51,0.119673399,0.153047131,0.150438893,0.278336369,0.488782094
26.39,0.123380329,0.149727196,0.137489216,0.269988839,0.475549774
26.96,0.12641533,0.152237638,0.161225596,0.279559067,0.470423451
27.87,0.118442892,0.137503346,0.137633336,0.263655777,0.454686687
20.34,0.10813765,0.134174139,0.133038495,0.258259227,0.452872475
31.03,0.115654395,0.134918435,0.124935793,0.258015561,0.471677102
19.51,0.109971259,0.145452272,0.142188233,0.271331747,0.465349455
25.87,0.116502014,0.146158822,0.137588255,0.257729528,0.469944932
27.37,0.120619381,0.148555399,0.146456997,0.26834994,0.469231261
26.34,0.121199641,0.147306938,0.136317831,0.265032148,0.45926284
26.8,0.12537943,0.148089678,0.156339321,0.27157812,0.45518786
27.78,0.125164285,0.142015061,0.15134996,0.267713228,0.466851813
20.4,0.103715733,0.131453758,0.131534511,0.252755244,0.442320293
30.97,0.119083798,0.134831312,0.123847623,0.255364901,0.465850248
19.44,0.108701478,0.14612778,0.144032109,0.270515696,0.472228146
25.84,0.12698454,0.144757501,0.13808618,0.257597692,0.471732395
27.38,0.118035318,0.148186802,0.145621726,0.270746139,0.471473387
26.25,0.12608278,0.147510754,0.135863493,0.265086484,0.462559563
26.77,0.128669359,0.148723063,0.158305621,0.273222674,0.457868424
27.73,0.132352005,0.141935961,0.151895281,0.268199454,0.46512136
20.24,0.104774276,0.130976652,0.131225809,0.252643482,0.44006155
30.89,0.116604356,0.135325872,0.124206762,0.254619884,0.467577239
26.26,0.121565167,0.151770325,0.140133375,0.274525123,0.486079885
26.9,0.128725542,0.158275879,0.167997394,0.289952355,0.483127652
27.83,0.127945708,0.149612626,0.158278105,0.284817041,0.482083268
20.35,0.10778501,0.136963836,0.135151575,0.264692966,0.460933518
31.09,0.115876134,0.138300377,0.127045,0.264651779,0.482129909
20.12,0.115765516,0.155780303,0.154322318,0.295780238,0.497391605
26.69,0.125347424,0.150058539,0.141098356,0.270815924,0.489963702
27.58,0.126433496,0.157379864,0.153694157,0.290714807,0.495471626
26.3,0.12661782,0.153100773,0.141486234,0.277888033,0.486586756
26.93,0.125914468,0.158543785,0.169035211,0.294848271,0.484469372
27.86,0.13277258,0.149886892,0.159252289,0.288914435,0.491264488
20.48,0.104676932,0.137308479,0.136045801,0.267301534,0.461087865
31.16,0.113893524,0.138701874,0.128191777,0.266241767,0.480667466
19.49,0.109950497,0.148506074,0.144248942,0.272934476,0.473824726
25.8,0.126490921,0.146608378,0.139379067,0.259003027,0.470862835
27.36,0.123897601,0.150050066,0.147195286,0.272408711,0.474147129
26.3,0.127548958,0.148157481,0.136651245,0.265934567,0.464767433
26.69,0.12121787,0.150146852,0.159355748,0.275154736,0.464760562
27.73,0.127595624,0.143353648,0.15297375,0.271439547,0.47074155
20.27,0.110017537,0.132618795,0.132775723,0.254271764,0.44505605
30.97,0.118370819,0.135694548,0.124089599,0.255705256,0.466630516
20.12,0.104953205,0.131798525,0.127929497,0.249185824,0.406442108
20.5,0.103849813,0.139132416,0.138829832,0.271974425,0.462226521
31.1,0.113566974,0.138684851,0.129166426,0.268746224,0.482545424
19.49,0.105834337,0.144637048,0.140185681,0.265707868,0.460977618
25.76,0.122951488,0.144566636,0.136237221,0.253591929,0.463347453
27.46,0.122659878,0.147167188,0.143041849,0.26535438,0.4658079
26.28,0.125480493,0.147531865,0.134922543,0.260567938,0.458742759
26.76,0.124127834,0.148205592,0.15477368,0.268618494,0.45747966
27.76,0.123784569,0.142996581,0.150552473,0.26753373,0.465510415
